boxes_box1_gps,boxes_crop,boxes_planting_date,boxes_expected_harvest_date,country,boxes_farmer_district,wet_completed_time,wet_kgs_crop_box1,wet_kgs_crop_box2,dry_box1_dry_weight,dry_box2_dry_weight,Latitude,Longitude,Altitude,Accuracy
-0.502628 37.5973158 1244.3 2.34,maize,2021-10-21,2022-02-28,Kenya,Kirinyaga,2022-03-21,6.96,5.875,4.865,3.975,-0.502628,37.5973158,1244.3,2.34
-0.5150983 37.3843967 1471.3 4.59,maize,2021-12-08,2022-03-08,Kenya,Kirinyaga,2022-03-03,7.51,4.34,4.725,2.505,-0.5150983,37.3843967,1471.3,4.59
-0.4720488 37.3944789 1536.5 3.9,maize,2021-10-07,2022-03-07,Kenya,Kirinyaga,2022-03-04,5.74,4.04,2.445,1.945,-0.4720488,37.3944789,1536.5,3.9
-0.60725 37.32933 1190.5 4.9,maize,2021-10-20,2022-03-20,Kenya,Kirinyaga,2022-03-01,8.225,6.505,6.085,3.935,-0.60725,37.32933,1190.5,4.9
-0.4357408 37.551771 1474.8 4.98,maize,2021-10-20,2022-02-18,Kenya,Kirinyaga,2022-02-26,8.15,9.38,5.24,5.44,-0.4357408,37.551771,1474.8,4.98
-0.5202334 37.3906494 1389.5 4.75,maize,2021-10-22,2022-03-04,Kenya,Kirinyaga,2022-03-15,4.665,5.525,3.125,4.275,-0.5202334,37.3906494,1389.5,4.75
-0.4360668 37.5521631 1582.6 4.8,maize,2021-10-20,2022-02-20,Kenya,Kirinyaga,2022-02-28,5.955,4.885,4.445,3.025,-0.4360668,37.5521631,1582.6,4.8
-0.4962485 37.6476136 1188.0 5.0,maize,2021-10-20,2022-03-05,Kenya,Kirinyaga,2022-03-01,5.375,5.425,4.445,4.715,-0.4962485,37.6476136,1188.0,5.0
-0.7840175 37.4429516 1118.8 4.9,maize,2021-10-25,2022-02-28,Kenya,Kirinyaga,2022-03-01,5.625,4.805,4.265,3.125,-0.7840175,37.4429516,1118.8,4.9
-0.46428 37.4005017 1580.7 3.9,maize,2021-10-07,2022-03-07,Kenya,Kirinyaga,2022-03-03,5.74,4.04,2.965,1.815,-0.46428,37.4005017,1580.7,3.9
-0.3892489 37.5419434 1675.7 4.91,maize,2021-10-25,2022-02-27,Kenya,Kirinyaga,2022-02-26,5.955,8.045,4.965,6.245,-0.3892489,37.5419434,1675.7,4.91
-0.4357668 37.5518398 1465.1 4.94,maize,2022-01-15,2022-02-20,Kenya,Kirinyaga,2022-03-04,3.935,3.455,2.235,1.985,-0.4357668,37.5518398,1465.1,4.94
-0.5159137 37.3862024 1448.5 3.9,maize,2021-10-07,2022-03-07,Kenya,Kirinyaga,2022-03-03,7.25,5.51,3.585,2.005,-0.5159137,37.3862024,1448.5,3.9
-0.4356933 37.5517782 1475.9 4.0,maize,2021-10-20,2022-02-22,Kenya,Kirinyaga,2022-02-26,6.755,6.275,5.345,4.435,-0.4356933,37.5517782,1475.9,4.0
-0.5591619 37.3409611 1322.2 2.74,maize,2021-10-10,2022-03-04,Kenya,Kirinyaga,2022-03-04,3.815,4.335,3.145,3.655,-0.5591619,37.3409611,1322.2,2.74
-0.5466632 37.3840851 1379.1 3.9,maize,2021-10-07,2022-03-07,Kenya,Kirinyaga,2022-03-04,8.04,11.77,5.825,7.715,-0.5466632,37.3840851,1379.1,3.9
-0.5508486 37.413275 1383.6 3.9,maize,2021-10-08,2022-03-08,Kenya,Kirinyaga,2022-02-28,11.84,9.945,8.425,6.435,-0.5508486,37.413275,1383.6,3.9
-0.5027024 37.5973497 1288.0 4.62,maize,2021-10-22,2022-02-26,Kenya,Kirinyaga,2022-02-26,8.075,6.715,6.755,5.135,-0.5027024,37.5973497,1288.0,4.62
-0.4730469 37.4146917 1572.0 3.9,maize,2021-10-04,2022-03-07,Kenya,Kirinyaga,2022-03-03,7.4,8.97,3.085,5.295,-0.4730469,37.4146917,1572.0,3.9
-0.4356616 37.5516699 1464.3 4.62,maize,2021-10-18,2022-02-20,Kenya,Kirinyaga,2022-02-28,2.235,4.665,1.395,3.125,-0.4356616,37.5516699,1464.3,4.62
-0.4733183 37.4159467 1594.1 9.69,maize,2020-10-18,2022-03-01,Kenya,Kirinyaga,2022-03-04,12.94,23.94,8.665,12.12,-0.4733183,37.4159467,1594.1,9.69
-0.4736283 37.4156883 1546.2 7.1,maize,2021-10-07,2022-03-07,Kenya,Kirinyaga,2022-03-03,6.12,8.92,4.15,6.035,-0.4736283,37.4156883,1546.2,7.1
-0.43566 37.5517733 1470.7 4.3,maize,2021-10-18,2022-02-18,Kenya,Kirinyaga,2022-02-28,4.385,3.805,3.185,2.625,-0.43566,37.5517733,1470.7,4.3
-0.4740074 37.3977408 1569.0 3.9,maize,2021-10-07,2022-03-07,Kenya,Kirinyaga,2022-03-03,13.16,6.04,7.925,4.185,-0.4740074,37.3977408,1569.0,3.9
-0.5671177 37.3598883 1282.09 4.22,maize,2021-10-20,2022-03-04,Kenya,Kirinyaga,2022-03-04,12.3,9.72,7.73,6.14,-0.5671177,37.3598883,1282.09,4.22
-0.4356711 37.5516905 1471.8 4.98,maize,2021-10-18,2022-02-20,Kenya,Kirinyaga,2022-02-28,4.315,5.485,3.655,4.505,-0.4356711,37.5516905,1471.8,4.98
-0.5106743 37.3849924 1474.0 3.9,maize,2021-10-08,2022-03-08,Kenya,Kirinyaga,2022-03-03,5.59,4.48,3.345,2.445,-0.5106743,37.3849924,1474.0,3.9
-0.5026444 37.5973135 1248.39 4.67,maize,2021-10-21,2022-02-28,Kenya,Kirinyaga,2022-02-26,9.26,7.83,6.075,5.405,-0.5026444,37.5973135,1248.39,4.67
-0.50817 37.4069767 1459.0 3.9,maize,2021-10-08,2022-03-08,Kenya,Kirinyaga,2022-03-03,6.17,10.27,4.585,6.985,-0.50817,37.4069767,1459.0,3.9
-0.4357038 37.5516656 1468.3 5.0,maize,2021-10-20,2022-02-20,Kenya,Kirinyaga,2022-03-01,7.815,7.405,5.995,5.075,-0.4357038,37.5516656,1468.3,5.0
