plot_id,longitude,latitude,Altitude,crop_type,planting_date,season,country,county
211,37.86262,-0.1054821,782.9,maize,11/21/2021,Short Rains,Kenya,Meru
212,37.5232492,0.1367049,2007.5,maize,10/20/2021,Short Rains,Kenya,Meru
213,37.7757053,0.0780292,1193.4,maize,10/9/2021,Short Rains,Kenya,Meru
214,37.8627053,-0.1051993,762.11,maize,10/28/2021,Short Rains,Kenya,Meru
215,37.6241141,0.1373668,1638.73,maize,10/3/2021,Short Rains,Kenya,Meru
216,37.78421167,-0.023065,1043.9,maize,10/16/2021,Short Rains,Kenya,Meru
217,37.7340474,-0.0445081,1208.4,maize,10/15/2021,Short Rains,Kenya,Meru
218,37.5012864,0.1122663,2266.5,maize,10/20/2021,Short Rains,Kenya,Meru
219,37.9890074,0.3573181,1639.3,maize,10/11/2021,Short Rains,Kenya,Meru
220,37.8686677,-0.1265632,716.9,maize,10/12/2021,Short Rains,Kenya,Meru
221,37.8628098,-0.1051154,753.24,maize,10/18/2021,Short Rains,Kenya,Meru
222,37.8627539,-0.1051517,729.87,maize,10/23/2021,Short Rains,Kenya,Meru
223,37.7803894,0.0579243,1216.59,maize,10/2/2021,Short Rains,Kenya,Meru
224,37.8070444,0.0731021,1155.3,maize,10/11/2021,Short Rains,Kenya,Meru
225,37.8014008,0.0553805,1209.59,maize,10/11/2021,Short Rains,Kenya,Meru
226,37.8081157,0.0761204,1189.5,maize,10/4/2021,Short Rains,Kenya,Meru
227,37.6319419,0.1527169,1539.66,maize,11/17/2021,Short Rains,Kenya,Meru
228,37.7745607,0.069702,1181,maize,10/29/2021,Short Rains,Kenya,Meru
229,37.8200964,0.0872704,1210,maize,10/21/2021,Short Rains,Kenya,Meru
230,38.0851735,0.3028844,877.7,maize,10/20/2020,Short Rains,Kenya,Meru
231,37.5015016,0.1125693,2263.1,maize,10/25/2021,Short Rains,Kenya,Meru
232,38.1363667,0.310555,789,maize,11/16/2021,Short Rains,Kenya,Meru
233,38.0466017,0.29668,1033.9,maize,11/15/2020,Short Rains,Kenya,Meru
234,37.6071683,0.1788973,1598.25,maize,10/1/2021,Short Rains,Kenya,Meru
235,37.8615996,-0.1063998,758.4,maize,11/22/2021,Short Rains,Kenya,Meru
236,37.809194,0.0710371,1186.2,maize,10/19/2021,Short Rains,Kenya,Meru
237,37.7613932,-0.0171414,1093.1,maize,9/26/2021,Off Season,Kenya,Meru
